epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.33164,3.14684,4.68535,2.94032,0.00333,0.0663,0.00432,0.00093,3.41682,4.16749,3.07661,7.056e-05,7.056e-05,7.056e-05
2,8.71414,3.05416,4.71126,2.80644,0.00291,0.12826,0.00527,0.00146,3.12294,4.19642,2.88043,0.000145787,0.000145787,0.000145787
3,11.8075,2.89193,4.61298,2.73634,0.00312,0.1836,0.00945,0.0024,2.88914,4.32776,2.87026,0.000219753,0.000219753,0.000219753
4,15.0968,2.70354,4.47965,2.52603,0.00363,0.22673,0.01946,0.00731,2.6854,4.33092,2.75741,0.000292458,0.000292458,0.000292458
5,18.5358,2.67112,4.33551,2.46523,0.00392,0.30671,0.03094,0.01085,2.57992,4.23184,2.72444,0.000363901,0.000363901,0.000363901
6,21.7511,2.57455,4.09685,2.38239,0.85772,0.04491,0.04189,0.01461,2.50756,4.03992,2.67432,0.000434084,0.000434084,0.000434084
7,25.246,2.48968,3.9518,2.3008,0.85357,0.06926,0.05909,0.01764,2.46422,3.8496,2.57882,0.000503005,0.000503005,0.000503005
8,28.4385,2.60034,3.94924,2.33979,0.85542,0.07513,0.0658,0.01967,2.478,3.79671,2.6232,0.000554043,0.000554043,0.000554043
9,31.7878,2.48622,3.93313,2.33849,0.69218,0.13379,0.07449,0.02457,2.40029,3.66953,2.57556,0.000549192,0.000549192,0.000549192
10,34.8973,2.3918,3.70849,2.24304,0.70098,0.10557,0.08379,0.02857,2.41848,3.6057,2.55499,0.000544341,0.000544341,0.000544341
11,38.0722,2.4334,3.73302,2.27955,0.53258,0.16818,0.0961,0.03063,2.42863,3.56041,2.5587,0.00053949,0.00053949,0.00053949
12,41.1871,2.376,3.64996,2.30626,0.52176,0.18096,0.10692,0.04152,2.36278,3.70657,2.48345,0.000534639,0.000534639,0.000534639
13,44.1021,2.27523,3.42665,2.17781,0.55835,0.16474,0.11587,0.04612,2.33324,3.59611,2.41196,0.000529788,0.000529788,0.000529788
14,47.4014,2.33502,3.49611,2.20669,0.48921,0.17113,0.12165,0.05537,2.25594,3.28466,2.3319,0.000524937,0.000524937,0.000524937
15,50.7015,2.27551,3.40555,2.16125,0.51894,0.18704,0.12242,0.05002,2.25237,3.17356,2.2904,0.000520086,0.000520086,0.000520086
16,53.964,2.29798,3.3156,2.17317,0.52792,0.18098,0.122,0.0476,2.31934,3.1658,2.31252,0.000515235,0.000515235,0.000515235
17,57.3715,2.30283,3.24764,2.14092,0.55281,0.24628,0.13168,0.04608,2.38112,5.02479,2.40887,0.000510384,0.000510384,0.000510384
18,60.8382,2.19487,3.20989,2.09628,0.47844,0.28117,0.14211,0.0536,2.35616,4.90603,2.3648,0.000505533,0.000505533,0.000505533
19,64.2992,2.23753,3.21937,2.1314,0.44098,0.24144,0.17435,0.08112,2.19166,3.31824,2.17112,0.000500682,0.000500682,0.000500682
20,67.6851,2.15687,3.19507,2.06204,0.29843,0.27694,0.19185,0.0837,2.13349,3.17642,2.13131,0.000495831,0.000495831,0.000495831
21,70.9172,2.06575,2.92828,2.00064,0.44814,0.24356,0.19157,0.0824,2.18885,2.99667,2.15531,0.00049098,0.00049098,0.00049098
22,74.305,2.12867,3.03404,2.0124,0.5016,0.25481,0.22974,0.09766,2.321,2.75577,2.33439,0.000486129,0.000486129,0.000486129
23,77.6027,2.13565,3.03831,2.04534,0.44123,0.25084,0.24025,0.10343,2.17416,2.70512,2.28364,0.000481278,0.000481278,0.000481278
24,80.8943,2.12273,2.88619,2.05162,0.56352,0.22799,0.24206,0.10478,2.12162,2.67857,2.25925,0.000476427,0.000476427,0.000476427
25,84.403,2.10449,2.83509,2.06928,0.46493,0.28584,0.27529,0.12684,2.09276,2.58583,2.23922,0.000471576,0.000471576,0.000471576
26,87.9496,2.06606,2.77948,2.013,0.34929,0.31426,0.27915,0.12971,2.09071,2.51784,2.22681,0.000466725,0.000466725,0.000466725
27,91.4857,2.08048,2.78129,2.04398,0.39627,0.30318,0.28284,0.13447,1.989,2.49875,2.14766,0.000461874,0.000461874,0.000461874
28,95.0041,2.01776,2.81973,1.98762,0.32699,0.3097,0.29276,0.10753,2.02729,2.503,2.22448,0.000457023,0.000457023,0.000457023
29,98.3075,2.02399,2.61016,1.9838,0.3634,0.34342,0.29743,0.11036,2.05525,2.47345,2.25922,0.000452172,0.000452172,0.000452172
30,101.568,2.00588,2.62639,1.98012,0.40311,0.36582,0.33461,0.14532,1.91888,2.39035,2.0991,0.000447321,0.000447321,0.000447321
31,104.796,2.04289,2.75029,1.97877,0.39086,0.34736,0.31755,0.14539,1.87663,2.49658,2.0684,0.00044247,0.00044247,0.00044247
32,107.906,2.02371,2.57659,1.95189,0.40191,0.35253,0.31928,0.15107,1.85115,2.62424,2.06346,0.000437619,0.000437619,0.000437619
33,111.323,1.98727,2.77064,1.97057,0.44126,0.33512,0.32521,0.1722,1.81258,2.84084,2.02905,0.000432768,0.000432768,0.000432768
34,114.481,1.90261,2.76073,1.93953,0.4718,0.34108,0.3523,0.18261,1.79319,2.76862,2.01026,0.000427917,0.000427917,0.000427917
35,117.804,1.90719,2.62032,1.90692,0.63843,0.32094,0.3883,0.19868,1.82782,2.42161,2.00816,0.000423066,0.000423066,0.000423066
36,121.231,1.87074,2.55153,1.90815,0.6619,0.32406,0.40622,0.21402,1.78594,2.17487,1.9813,0.000418215,0.000418215,0.000418215
37,124.316,1.95897,2.67343,1.9391,0.61572,0.35192,0.41725,0.21773,1.75447,2.16045,1.96151,0.000413364,0.000413364,0.000413364
